filename,id2,date,NDVI,blue,green,narrow_nir,nir,rdg_1,rdg_2,rdg_3,red,swir1,swir2
2_20190107T043149_20190107T043708_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/7/2019,0.520167627,628,1030,2923,2902,1452,2684,3015,916,2349,1827
2_20190112T043141_20190112T043642_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/12/2019,0.524951671,882.2016807,1254.319328,3096,3307.294118,1615,2663,2887,1030.453782,2238,1549
2_20190112T043141_20190112T043642_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/12/2019,0.504273504,869,1240,3133,3168,1648,2746,2968,1044,2192,1508
2_20190117T043119_20190117T043639_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/17/2019,0.50924371,794.1932773,1310.705882,3111,3454.184874,1672,2654,3040,1123.12605,2265,1716
2_20190122T043101_20190122T043322_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/22/2019,0.548785628,626.5966387,1310.957983,3285,3739.277311,1697,2966,3302,1089.361345,2135,1515
2_20190122T043101_20190122T043322_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/22/2019,0.550618319,625,1310,3354,3699,1761,2973,3450,1072,2086,1427
2_20190127T043039_20190127T043627_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,1/27/2019,0.449010654,922,1250,2982,2856,1555,2522,2814,1086,2087,1492
2_20190127T043039_20190127T043627_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,1/27/2019,0.47976431,900.210084,1234.621849,2932,2993.563025,1537,2493,2740,1052.352941,2177,1586
2_20190201T043011_20190201T044135_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/1/2019,0.709975218,416.9747899,825.7394958,3079,3209.07563,1327,2544,2893,544.2521008,1930,1288
2_20190201T043011_20190201T044135_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/1/2019,0.74056353,335,815,3120,3274,1312,2542,2831,488,1862,1262
2_20190206T042949_20190206T043539_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/6/2019,0.554073645,706,930,2636,2680,1273,2158,2463,769,1815,1342
2_20190206T042949_20190206T043539_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/6/2019,0.56236908,711.5546218,925.5882353,2694,2708.87395,1296,2177,2485,758.6722689,1913,1394
2_20190211T042921_20190211T043121_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/11/2019,0.651989994,470.0084034,844.5042017,2897,2927.831933,1333,2476,2777,617.1344538,1964,1330
2_20190211T042921_20190211T043121_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/11/2019,0.656758273,456,824,2785,2954,1314,2378,2718,612,1949,1311
2_20190221T042811_20190221T043725_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,2/21/2019,0.456785437,655.7310924,872.6134454,2340,2179.87395,1269,1966,2143,812.8571429,1962,1395
2_20190221T042811_20190221T043725_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,2/21/2019,0.451981195,643,847,2240,2162,1231,1875,2092,816,1952,1405
2_20190303T042701_20190303T042658_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,3/3/2019,0.224411125,799.3109244,1096.033613,2218,1991.428571,1463,1991,2165,1261.361345,2419,2053
2_20190303T042701_20190303T042658_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,3/3/2019,0.23132969,780,1088,2087,2028,1469,1855,2065,1266,2443,2111
2_20190308T042659_20190308T044054_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,3/8/2019,0.193850123,1015.058824,1370.319328,2638,2358.512605,1646,2195,2511,1592.621849,2805,2441
2_20190308T042659_20190308T044054_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,3/8/2019,0.209628887,996,1356,2546,2412,1742,2125,2405,1576,2859,2596
2_20190323T042701_20190323T043918_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,3/23/2019,0.269701506,913.2436975,1297.02521,2910,2532.941176,1701,2443,2678,1457.159664,2812,2229
2_20190323T042701_20190323T043918_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,3/23/2019,0.263342521,930,1272,2911,2521,1693,2489,2702,1470,2786,2215
2_20190328T042709_20190328T043805_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,3/28/2019,0.226675379,953.3781513,1396.87395,3208,2561.159664,1783,2771,2985,1615.092437,2920,2336
2_20190328T042709_20190328T043805_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,3/28/2019,0.2351521,951,1378,2988,2558,1823,2626,2738,1584,2944,2403
2_20190402T042701_20190402T044018_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,4/2/2019,0.396196421,933.5042017,1244.655462,2957,2593.915966,1574,2693,2872,1121.714286,2466,1691
2_20190402T042701_20190402T044018_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,4/2/2019,0.377389405,947,1252,2770,2522,1578,2647,2709,1140,2468,1706
2_20190407T042709_20190407T044140_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,4/7/2019,0.544592935,775.0084034,1161.697479,3999,3225.462185,1506,3331,3818,950.9915966,2457,1415
2_20190407T042709_20190407T044140_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,4/7/2019,0.557338367,780,1174,3797,3300,1525,3260,3706,938,2446,1431
2_20190417T042709_20190417T043607_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,4/17/2019,0.723680574,386.7647059,832.4537815,4255,3685.630252,1341,3462,3950,590.4537815,2554,1515
2_20190417T042709_20190417T043607_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,4/17/2019,0.694628571,426,852,4194,3707,1320,3350,3955,668,2531,1492
2_20190422T042711_20190422T043605_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,4/22/2019,0.47962963,701,1166,3971,3196,1568,3324,3787,1124,2714,1750
2_20190422T042711_20190422T043605_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,4/22/2019,0.508343008,664.9915966,1122.840336,3965,3248,1626,3260,3764,1058.672269,2782,1808
2_20190502T042711_20190502T042707_T46QBM_00000000000000000007,md_acchu_sheik_joyd_,5/2/2019,0.398197195,1326.722689,1358.05042,3408,3023.176471,1817,2893,3130,1300.957983,2498,1936
2_20190502T042711_20190502T042707_T45QZG_00000000000000000007,md_acchu_sheik_joyd_,5/2/2019,0.382761816,1332,1322,3368,2984,1796,2845,3126,1332,2484,1913
